nina,last_name,first_name,birth_date,sex,region_code,birth_region,cercle,commune,village,father_name,mother_name,language,has_error,error_type,error_field
19212325168217N,Saidou,Ténin,1992-12-23,M,3,Sikasso,Yorosso,Mahou,Fakoroba,Madiou Almoustapha,Zeïnabou Ly,bm,False,,
20306148277054M,Dembaga,Naba,2003-06-07,F,1,Kayes,Bafoulabe,Diakon,Sambela,Abdourahmane Diallo,Tabita Fofana,fr,False,,
14706140079245U,Bathily,Alaye,1947-06-10,M,1,Kayes,Bafoulabe,Diakon,Sambela,Dembele Soumare,Soukeynatou Gueye,ff,False,,
28112239059797P,Konare,Karija,1981-12-20,F,2,Koulikoro,Nara,Dilly,Niamala,Salia Konandji,Oumou Ongoiba,bm,True,phonetic_spelling,first_name
14103245155871J,Tounkara,Umarou,1941-03-05,M,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Ousmane Sanou,Djénétou Kane,bm,True,phonetic_spelling,first_name
20508607222984T,Bengaly,Roukaya,2005-08-01,F,6,Tombouctou,Goundam,Tonka,Goundamasa,Galo Haidara,Fatoumé Yattara,dje,False,,
27005528138331W,Sck,Tenin,1970-05-08,F,5,Mopti,Douentza,Hombori,Yalakoura,Niamoye Cheickna,Maïram Boubou,dje,True,typo_omission,last_name
21601323133349B,Kassogue,Aïsseta,2016-01-03,F,3,Sikasso,Bougouni,Faragouaran,Bougoudji,Hamadi Macalou,Hawakè Keita,ff,False,,
11408347209501D,Yehia,Boureima,2014-08-18,M,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Zié Yalcouye,Safiatou Sylla,bm,False,,
17909415208709Q,Seck,Soriba,1979-09-01,M,4,Ségou,Segou,Sebougou,Sonfara,Abdoulwahab Konandji,Hadya Yalcouye,bm,False,,
20901445233278W,Dolo,Niiénè,2009-01-10,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Diakalia Tounkara,Asma Ba,bm,True,typo_insertion,first_name
25608347269612C,Guindo,Adiaratu,1956-08-14,F,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Famagan Tessougue,Aïchata Bengaly,fr,True,phonetic_spelling,first_name
23912104284300N,Bathily,Zeynabou,1939-12-01,F,1,Kayes,Kita,Sebekoro,Kountouba,Founeke Sylla,Massitan Coulibaly,bm,False,,
23609412027259S,Niélé,Soumbounou,1936-09-07,F,4,Ségou,Macina,Kolongo,Tioribabougou,Ibrahim Wélé,Founékou Sidibe,fr,True,field_inversion,"first_name,last_name"
22006116061572C,Dicko,Hawawou,2020-06-12,F,1,Kayes,Diema,Lakamane,Mansakoro,Yssouf Fall,Mariétoulaye Konfe,ff,False,,
26106456220313H,Diaby,Halumatou,1961-06-19,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Ibrahima Fomba,Houley Ka,fr,True,typo_substitution,first_name
16911127231706H,Maiguizp,Tiéfing,1969-11-01,M,1,Kayes,Kayes,Hawa Dembaya,Diakanfara,Souleymane Faye,Niagalé Guindo,ff,True,typo_substitution,last_name
24104235116664G,Gakou,Sadia,1941-04-23,F,2,Koulikoro,Kati,Sanankoroba,Sirakoroba,Boubakar Sidibe,Salimata Niare,bm,False,,
26202508240706F,Dougnon,Hassanatou,1962-02-18,F,5,Mopti,Koro,Dioungani,Bankassou,Demba Daou,Niékè Boureima,dje,False,,
14403548166619X,Cisseko,Seydou,1944-03-12,M,5,Mopti,Djenne,Femaye,Sofarana,Cheick Lo,Fatma Soumountéra,fr,False,,
28203703090482H,Coulou,Safietou,1982-03-09,F,7,Gao,Bourem,Bamba,Bouremaya,Sidiki Kassogue,Adama Tabouré,dje,False,,
26804131179419X,Sagara,Founékè,1968-04-13,F,1,Kayes,Diema,Lakamane,Mansakoro,Dembele Kanoute,Dado Yanogo,ff,False,,
29202826282038D,Saidou,Tenin,1992-02-28,F,8,Kidal,Abeibara,Boghassa,Boghassaren,Fodéba Cisseko,Founékè Soumare,tmq,False,,
11612856278474J,Touray,Aliou,2016-12-19,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Famakan Coulou,Niamako Fane,tmq,False,,
18002336068950X,Goita,Sidi,1980-02-07,M,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Hamza Kebe,Goundo Sangare,ff,False,,
15208911160565N,Coulibaly,Bandé,1952-08-02,M,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Dembo Dabo,Naba Soumare,bm,False,,
18010660150522V,Daou,Tidjani,1980-10-30,M,6,Gao,Ansongo,Tessit,Ansongala,Hammadi Maiguizo,Maïram Saidou,tmq,True,geographic_mismatch,birth_region
17810118213349E,Ouattara,Sinaly,1978-10-20,M,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Bakary Guindo,Asmaou Saye,ff,False,,
25812631177341F,Abdramane,Houley,1958-12-18,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Issiaka Ascofare,Maïdjara Ouologuem,tmq,False,,
16610725120877J,Touray,Oumar,1966-10-14,M,7,Gao,Bourem,Bamba,Bouremaya,Lamine Yalcouye,Housseynatou Almoustapha,dje,False,,
11808603065515T,Yanogo,Daouda,2018-08-25,M,6,Tombouctou,Goundam,Tonka,Goundamasa,Sidi Fomba,Soumeyatou Saidou,fr,False,,
24003810039481H,Kamissoko,Hadiata,1940-03-02,F,8,Kidal,Tessalit,Timetrine,Aguelhokan,Abdoulaye Mahamoud,Safietou Berthe,tmq,False,,
21305441250894X,Boureima,Djeneba,2013-05-09,F,4,Ségou,San,Kava,Damansela,Seyba Diallo,Nènè Goita,fr,False,,
21611249052455H,Niare,Haiba,2016-11-13,F,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Solo Sangare,Sira Tapily,fr,True,typo_omission,first_name
25309744093175E,Tall,Kankou,1953-09-28,F,7,Gao,Bourem,Bamba,Bouremaya,Mamoudou Almoustapha,Halimatou Mbaye,dje,False,,
10302330131471K,Tamboura,Demberel,2003-02-23,M,3,Kidal,Tin-Essako,Intadeyni,Intadeyni,Mamadou Samassekou,Niagalé Issoufou,fr,True,geographic_mismatch,birth_region
26310828129468P,Dougnon,Téné,1963-10-08,F,8,Kidal,Kidal,Essouk,Tinzaoukar,Ali Mariko,Djelika Sarr,tmq,False,,
25209819012850R,Mahamoud,Habibatou,1952-09-08,F,8,Kidal,Kidal,Anefif,Adjelhocan,Mamadou Mallé,Khadija Dembele,tmq,False,,
29305352118622M,Theera,Diénéba,1993-05-13,F,3,Sikasso,Bougouni,Sido,Misseniba,Abdou Bah,Halimatou Cisseko,ff,False,,
18202807021317S,Ould,Souleymane,1982-02-03,M,8,Kidal,Kidal,Essouk,Tinzaoukar,Souleyman Bicaba,Aïdara Cheick,fr,False,,
26703127090206C,Niamana,Cheick,1967-03-11,F,1,Kayes,Kayes,Sadiola,Kondiarafara,Diadié Ibrahima,Niékè Daou,snk,True,field_inversion,"first_name,last_name"
21707448174824T,Soumare,Niénétou,2017-07-21,F,4,Ségou,Segou,Sebougou,Sonfara,Lassana Drame,Hamsatou Fall,bm,False,,
20604151203015S,Kamissoko,Kadia,2006-04-02,F,1,Kayes,Diema,Lakamane,Mansakoro,Nfaly Saidou,Hadya Kamissoko,ff,False,,
26005244120483N,Doumbia,Halimatou,1960-05-04,F,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Brahima Tapily,Adijatou Ndiaye,fr,False,,
27408820210120N,Diawwara,Sira,1974-08-02,F,8,Kidal,Kidal,Anefif,Adjelhocan,Yacouba Dougnon,Sadiatou Soumare,fr,True,typo_insertion,last_name
23801748080907W,Dick,Safya,1938-01-23,F,7,Gao,Ansongo,Tessit,Ansongala,Daouda Sylla,Mariama Konfourou,dje,True,typo_omission,last_name
16108407189558K,Yaranangore,Ihrahima,1961-08-16,M,4,Ségou,Bla,Yangasso,Wolofobougou,Boukary Macalou,Niama Wague,bm,True,typo_substitution,first_name
13410251290211H,Diallo,Birzma,1934-10-26,M,2,Koulikoro,Dioila,Massigui,Fadiabougou,Bandé Ka,Sadiokè Gueye,fr,True,typo_substitution,first_name
17305617090113G,Doumbua,Fousseyni,1973-05-20,M,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Mahamadou Yaranangore,Nènè Ouologuem,fr,True,typo_substitution,last_name
18501629186526B,Magassa,Soumaïla,1985-01-18,M,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Aboubacrine Ndiaye,Mariama Cisse,dje,False,,
16611131206437Y,Magassa,Bilali,1966-11-21,M,1,Kayes,Yelimane,Kremis,Tougandama,Cherif Hamadou,Ramatoulaye Berthe,bm,False,,
13906218300562U,Tapily,Hamaa,1939-06-17,M,2,Koulikoro,Dioila,Massigui,Fadiabougou,Yssouf Ibrahima,Sokhna Saidou,bm,True,phonetic_spelling,first_name
25903327174848V,Saidou,Maïssa,1959-03-02,F,3,Sikasso,Koutiala,Zangasso,Diomandougou,Tidjani Diabate,Wassila Kane,bm,False,,
20708244243069S,Dabo,Sanaba,2007-08-23,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Cheick Wane,Fadima Walet,fr,False,,
27304808211363H,Bocoum,Asmaa,1973-04-11,F,8,Kidal,Abeibara,Boghassa,Boghassaren,Aliou Goita,Aïchatou Ongoiba,tmq,True,typo_insertion,first_name
15905455285377M,Soumare,Birama,1959-05-22,M,4,Ségou,Baroueli,Tamani,Fienso-Were,Niamoye Sogodogo,Naba Kane,fr,False,,
21908112140720G,Ongoiba,Haadiata,2019-08-28,F,1,Kayes,Bafoulabe,Diakon,Sambela,Sékouba Diarra,Adama Drame,ff,True,phonetic_spelling,first_name
19805527233350F,Kaba,Hamadoun,1998-05-24,M,5,Mopti,Mopti,Konna,Tongorongo,Fodé Tapily,Mariétoulaye Diaby,fr,False,,
18404249026691P,Berthe,Sinaali,1984-04-17,M,2,Koulikoro,Nara,Dilly,Niamala,Sidiki Bocoum,Niamtou Hamadou,bm,True,phonetic_spelling,first_name
21712219250540M,Dolo,Sira,2017-12-10,F,2,Sikasso,Koutiala,Zangasso,Diomandougou,Sambou Mahamoud,Aïchatou Kone,fr,True,geographic_mismatch,birth_region
29211421062008Y,Fane,Kankoun,1992-11-24,F,4,Ségou,Segou,Sebougou,Sonfara,Pâté Tall,Saran Almoustapha,fr,False,,
24911126022447K,Konate,Sounkali,1949-11-23,F,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Lassana Napo,Awakè Kane,ff,False,,
26607408208022S,Tapily,Saoudatou,1966-07-02,F,4,Ségou,Segou,Sebougou,Sonfara,Seyba Hamady,Hadidiatou Bengaly,fr,False,,
14906328206537G,Berthe,Bukary,1949-06-15,M,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Fodé Pamateck,Diénéba Sagara,fr,True,phonetic_spelling,first_name
26401953076242S,Kanute,Founé,1964-01-06,F,9,Bamako,District de Bamako,Commune VI,Niamakorola,Nampé Balde,Mariétou Haidara,fr,True,phonetic_spelling,last_name
20611237297460R,Mallé,Zeïnab,2006-11-07,F,2,Koulikoro,Kati,Bossofala,Banzanbougou,Abdou Ouologuem,Roukiatou Napo,fr,False,,
20310541156816J,Macalou,Ténémba,2003-10-21,F,5,Mopti,Koro,Dioungani,Bankassou,Alou Theera,Dadou Sidibe,bm,False,,
16603124147079E,Dabo,Seyni,1966-03-17,M,1,Kayes,Yelimane,Kremis,Tougandama,Yssouf Ouattara,Soukoura Boubou,fr,False,,
11001439244514M,Gaku,Ibrahima,2010-01-04,M,4,Ségou,San,Kava,Damansela,Soumaïla Kanoute,Houleymatou Samake,fr,True,phonetic_spelling,last_name
18810424145397L,Konfoourou,Zacharia,1988-10-04,M,4,Ségou,Bla,Yangasso,Wolofobougou,Madiou Diakite,Roukietou Sagara,fr,True,typo_insertion,last_name
10911406299680K,Drame,Sékouba,2009-11-13,M,4,Ségou,Macina,Kolongo,Tioribabougou,Fodé Hamidou,Saran Samake,bm,False,,
28410243270096V,Bocoum,Maïmé,1984-10-22,F,2,Koulikoro,Dioila,Massigui,Fadiabougou,Fadima Konate,Niamako Ongoiba,fr,False,,
27909332099232K,Diawara,Penda,1979-09-19,F,3,Sikasso,Bougouni,Sido,Misseniba,Lassana Tessougue,Adiaratou Ouattara,ff,False,,
16004822068612E,Ascofare,Tiécura,1960-04-19,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Mamarou Sow,Habiba Niare,tmq,True,typo_omission,first_name
24904248230240K,Oumarou,Bassiratou,1949-04-11,F,2,Koulikoro,Kati,Bossofala,Banzanbougou,Fodé Maiguizo,Sadio Bamba,bm,False,,
29910325258541Q,Ly,Dado,1999-10-18,F,3,Sikasso,Bougouni,Sido,Misseniba,Fakourou Diawara,Niénè Diakite,ff,False,,
29708760053729B,Coulou,Goundo,1997-08-13,F,7,Gao,Gao,Soni Ali Ber,Gargandobo,Tahirou Samake,Houley Konare,dje,False,,
14210506114837N,Cheickna,Sékouba,1942-10-28,M,5,Mopti,Djenne,Femaye,Sofarana,Seydou Dicko,Bintou Mahamoud,bm,True,invalid_checksum,nina
13611121051860X,Sagara,Tiéman,1936-11-11,M,1,Kayes,Bafoulabe,Diakon,Sambela,Boubacar Toure,Niagalé Maiguizo,snk,False,,
24505540003928V,Bzrthe,Aissata,1945-05-16,F,5,Mopti,Koro,Dioungani,Bankassou,Nampé Gueye,Tata Souleymane,dje,True,typo_substitution,last_name
15104541235065G,Niang,Maïga,1951-04-02,M,5,Mopti,Tenenkou,Diondiori,Diafarabe-Kola,Yssouf Bakary,Aissata Dakouo,ff,False,,
21511501181247U,Sogodogo,Souadou,2015-11-05,F,5,Mopti,Djenne,Femaye,Sofarana,Bréhima Samake,Soumeyatou Bengaly,fr,False,,
15203556241045Q,Boncana,Hamadu,1952-03-22,M,5,Mopti,Mopti,Konna,Tongorongo,Niamba Konate,Toko Diallo,bm,True,phonetic_spelling,first_name
28711203181560A,Pamateck,Zeïnab,1987-11-27,F,2,Koulikoro,Dioila,Massigui,Fadiabougou,Yaya Boubou,Nafissa Soumbounou,fr,False,,
11108950235038X,Tessougue,Fakourou,2011-08-15,M,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Oumar Sall,Nana Napo,bm,False,,
23902303098293M,Yaranangore,Tabita,1939-02-04,F,3,Sikasso,Yorosso,Mahou,Fakoroba,Omar Yanogo,Yacine Wague,bm,False,,
28210129198348B,Barry,Korotou,1982-10-25,F,1,Kayes,Kayes,Sadiola,Kondiarafara,Housseini Fane,Hadya Coulou,bm,False,,
28205128093559B,Tessougue,Founékè,1982-05-22,F,1,Kayes,Diema,Lakamane,Mansakoro,Salif Berthe,Kourou Tessougue,bm,False,,
21107245228360T,Bocar,Nana,2011-07-20,F,2,Koulikoro,Nara,Dilly,Niamala,Yacoub Theera,Mariama Ag,bm,False,,
19402143208373G,Dakluo,Manga,1994-02-24,M,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Djibrilla Kaba,Hawa Drame,ff,True,typo_substitution,last_name
10206710231972E,Balba,Hamadou,2002-06-18,M,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Sidiki Tangara,Massikè Diawara,tmq,True,typo_substitution,last_name
16408112256531V,Booncana,Brahima,1964-08-31,M,1,Kayes,Kayes,Sadiola,Kondiarafara,Nouhoum Kamissoko,Mariétoulaye Coumare,ff,True,phonetic_spelling,last_name
10509255038463W,Tall,Cherif,2005-09-29,M,2,Koulikoro,Dioila,Massigui,Fadiabougou,Sidiki Bagayoko,Khadidja Karembe,bm,False,,
23201455081729J,Tal,Niamako,1932-01-05,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Almahady Fall,Goundo Sall,fr,True,typo_omission,last_name
24601552283133S,Bagayoko,Korotoumou,1946-01-15,F,5,Mopti,Douentza,Hombori,Yalakoura,Fodé Mahamoud,Salima Soumbounou,dje,False,,
10307221038461R,Samassekou,Gibril,2003-07-13,M,2,Koulikoro,Dioila,Massigui,Fadiabougou,Ahmoud Sanou,Wassa Abdramane,fr,False,,
16610533029852E,Wague,Ahmoud,1966-10-06,M,5,Mopti,Djenne,Femaye,Sofarana,Tiécoura Dougnon,Hapsatou Konare,bm,False,,
11709434146867E,Berthe,Niamba,2017-09-07,M,4,Ségou,Baroueli,Tamani,Fienso-Were,Fadiala Abdramane,Habibatou Bathily,bm,False,,
17609642087607C,Konandji,Tiécoura,1976-09-30,M,6,Kidal,Tessalit,Timetrine,Aguelhokan,Khalifa Pamateck,Soukeynatou Fofana,fr,True,geographic_mismatch,birth_region
24508814293427F,Korotou,Sangare,1945-08-19,F,8,Kidal,Tessalit,Timetrine,Aguelhokan,Abdoulay Issoufou,Doussou Dougnon,tmq,True,field_inversion,"first_name,last_name"
27005430038706E,Sanlgo,Coumba,1970-05-24,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Sidi Dicko,Diénékè Boubou,fr,True,typo_substitution,last_name
18908224264576S,Magaxsa,Lamine,1989-08-15,M,2,Koulikoro,Kati,Bossofala,Banzanbougou,Zié Samassekou,Goundo Doukoure,bm,True,typo_substitution,last_name
25112356082834K,Tapily,Awakè,1951-12-23,F,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Idrissa Napo,Niama Kaba,bm,False,,
29203657158510W,Sissoko,Niaba,1992-03-14,F,6,Tombouctou,Goundam,Tonka,Goundamasa,Yéro Ouattara,Sounkali Mbaye,tmq,False,,
13011119254612E,Maiguizo,Tijani,1930-11-22,M,1,Kayes,Yelimane,Kremis,Tougandama,Mahaman Keita,Djelika Wane,snk,False,,
26604226188047S,WWélé,Bintou,1966-04-19,F,2,Koulikoro,Kati,Bossofala,Banzanbougou,Aly Salaha,Sadio Bengaly,bm,True,typo_insertion,last_name
19807524174572V,Bicaba,Fodie,1998-07-31,M,5,Mopti,Bandiagara,Sangha,Sevarela,Boubakar Balde,Hawaou Sogoba,dje,False,,
15410109171824F,Yalcouye,Ahmud,1954-10-06,M,1,Kayes,Kita,Sebekoro,Kountouba,Soumana Gakou,Hawawou Dakouo,snk,True,phonetic_spelling,first_name
29907748154608W,Pamateck,Dadou,1999-07-18,F,7,Gao,Gao,Gounzoureye,Wabarianke,Almahady Oumarou,Founékou Mallé,dje,False,,
14412422057427W,Tabouré,Soriba,1944-12-06,M,4,Ségou,Bla,Yangasso,Wolofobougou,Idriss Doumbia,Aïsseta Yalcouye,bm,False,,
11507904299492L,Sako,Mohammed,2015-07-21,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Abdoul Almoustapha,Founé Seck,fr,False,,
17101302226322X,Ly,Tiémoko,1971-01-25,M,3,Sikasso,Sikasso,Kaboila,Kefanazana,Tidiane Dia,Niani Sacko,ff,False,,
11705909266213H,Salaha,Ténin,2017-05-30,M,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Abdoulwahab Soumbounou,Soumeyatou Ascofare,bm,False,,
29907622280363M,Kamissoko,Adijatou,07/18/1999,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Hammadi Ba,Oulématou Kassogue,dje,True,date_format_error,birth_date
21305319107707N,Silla,Néma,2013-05-01,F,3,Sikasso,Bougouni,Sido,Misseniba,Hamidou Dembaga,Niéléba Macalou,bm,True,phonetic_spelling,last_name
25707450075298Y,Fofana,Niagalé,1957-07-09,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Cherif Berthe,Niélékè Hamadou,bm,False,,
15104353276278K,Salaha,Hamza,1951-04-02,M,3,Ségou,San,Kava,Damansela,Sinali Diawara,Djelika Mbaye,fr,True,geographic_mismatch,birth_region
18105107212339P,Maiguizo,Daouda,1981-05-04,M,1,Kayes,Yelimane,Kremis,Tougandama,Gibril Diawara,Fatoumata Souleymane,snk,False,,
25206642103775B,Goita,Founékè,1952-06-08,F,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Tijani Sanogo,Korka Bagayoko,tmq,False,,
10311227091957P,Toure,Bouukary,2003-11-10,M,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Cheickne Barry,Kankoun Tembely,fr,True,typo_insertion,first_name
